அறம் ஒரு கருவி   	அரம் ஒரு கருவி   
நீளம் என்பதன் பொருள் இருள்	நீலம் என்பதன் பொருள் இருள்
நீலம் என்பதன் பொருள் நெடுமை 	நீளம் என்பதன் பொருள் நெடுமை 
நீலம் என்பதன் பொருள் நீண்ட	நீளம் என்பதன் பொருள் நீண்ட
நீலம் என்பதன் பொருள் தாமதம்	நீளம் என்பதன் பொருள் தாமதம்
நீள் என்பதன் பொருள் நீலம்	நீல் என்பதன் பொருள் நீலம்
நீள் என்பதன் பொருள் காற்று	நீல் என்பதன் பொருள் காற்று
நீல் என்பதன் பொருள் நீளம்	நீள் என்பதன் பொருள் நீளம்
நீல் என்பதன் பொருள் ஒளி	நீள் என்பதன் பொருள் ஒளி
பழம் என்பதன் பொருள் கிழங்கு	பலம் என்பதன் பொருள் கிழங்கு
பழம் என்பதன் பொருள் வலி	பலம் என்பதன் பொருள் வலி
பழம் என்பதன் பொருள் நெற்றி	பலம் என்பதன் பொருள் நெற்றி
பழம் என்பதன் பொருள் சக்தி	பலம் என்பதன் பொருள் சக்தி
பழம் என்பதன் பொருள் சேனை	பலம் என்பதன் பொருள் சேனை
பழம் என்பதன் பொருள் வன்மை	பலம் என்பதன் பொருள் வன்மை
பழம் என்பதன் பொருள் உறுதி	பலம் என்பதன் பொருள் உறுதி
பழம் என்பதன் பொருள் எடை	பலம் என்பதன் பொருள் எடை
பலம் என்பதன் பொருள் கனி	பழம் என்பதன் பொருள் கனி
பலம் என்பதன் பொருள் முதுமை	பழம் என்பதன் பொருள் முதுமை
பள்ளி என்பதன் பொருள் சிற்றூர்	பல்லி என்பதன் பொருள் சிற்றூர்
பள்ளி என்பதன் பொருள் இடையர் ஊர்	பல்லி என்பதன் பொருள் இடையர் ஊர்
பள்ளி என்பதன் பொருள் உழுகருவி	பல்லி என்பதன் பொருள் உழுகருவி
பள்ளி என்பதன் பொருள் ஓர் உயிரி	பல்லி என்பதன் பொருள் ஓர் உயிரி
பள்ளி என்பதன் பொருள் வண்டியுறுப்பு	பல்லி என்பதன் பொருள் வண்டியுறுப்பு
பல்லி என்பதன் பொருள் இடைச்சேரி	பள்ளி என்பதன் பொருள் இடைச்சேரி
பல்லி என்பதன் பொருள் புத்தர் கோயில்	பள்ளி என்பதன் பொருள் புத்தர் கோயில்
பல்லி என்பதன் பொருள் குறும்பன்	பள்ளி என்பதன் பொருள் குறும்பன்
பல்லி என்பதன் பொருள் மருதநிலத்தூர்	பள்ளி என்பதன் பொருள் மருதநிலத்தூர்
பல்லி என்பதன் பொருள் படுக்கை	பள்ளி என்பதன் பொருள் படுக்கை
பல்லி என்பதன் பொருள் பள்ளிக்கூடம்	பள்ளி என்பதன் பொருள் பள்ளிக்கூடம்
பழி என்பதன் பொருள் பலியிடுதல்	பலி என்பதன் பொருள் பலியிடுதல்
பழி என்பதன் பொருள் பலியுயிர்	பலி என்பதன் பொருள் பலியுயிர்
பலி என்பதன் பொருள் குற்றம்	பழி என்பதன் பொருள் குற்றம்
பாழ் என்பதன் பொருள் திரவ உணவு	பால் என்பதன் பொருள் திரவ உணவு
பாழ் என்பதன் பொருள் பகுப்பு	பால் என்பதன் பொருள் பகுப்பு
பாழ் என்பதன் பொருள் இயல்பு	பால் என்பதன் பொருள் இயல்பு
பால் என்பதன் பொருள் வீண்	பாழ் என்பதன் பொருள் வீண்
பால் என்பதன் பொருள் வெறுமை	பாழ் என்பதன் பொருள் வெறுமை
பீளை என்பதன் பொருள் துன்பம்	பீழை என்பதன் பொருள் துன்பம்
பீழை என்பதன் பொருள் கண் அழுக்கு	பீளை என்பதன் பொருள் கண் அழுக்கு
புளி என்பதன் பொருள் காட்டு விலங்கு	புலி என்பதன் பொருள் காட்டு விலங்கு
புலி என்பதன் பொருள் புளியமரம்	புளி என்பதன் பொருள் புளியமரம்
புலி என்பதன் பொருள் புளியங்காய்	புளி என்பதன் பொருள் புளியங்காய்
புழை என்பதன் பொருள் புலால்	புலை என்பதன் பொருள் புலால்
புழை என்பதன் பொருள் ஊன்	புலை என்பதன் பொருள் ஊன்
புழை என்பதன் பொருள் கீழ்மை	புலை என்பதன் பொருள் கீழ்மை
புலை என்பதன் பொருள் துளை	புழை என்பதன் பொருள் துளை
புலை என்பதன் பொருள் வாயில்	புழை என்பதன் பொருள் வாயில்
புலை என்பதன் பொருள் நரகம்	புழை என்பதன் பொருள் நரகம்
புகழ் என்பதன் பொருள் அடைக்கலம்	புகல் என்பதன் பொருள் அடைக்கலம்
புகல் என்பதன் பொருள் பெருமை	புகழ் என்பதன் பொருள் பெருமை
புள் என்பதன் பொருள் அற்பம்	புல் என்பதன் பொருள் அற்பம்
புள் என்பதன் பொருள் கலவி	புல் என்பதன் பொருள் கலவி
புள் என்பதன் பொருள் புல்பூண்டு	புல் என்பதன் பொருள் புல்பூண்டு
புல் என்பதன் பொருள் பறவை	புள் என்பதன் பொருள் பறவை
பூளம் என்பதன் பொருள் புற்கட்டு	பூலம் என்பதன் பொருள் புற்கட்டு
பூலம் என்பதன் பொருள் பூவரசு	பூளம் என்பதன் பொருள் பூவரசு
பூளை என்பதன் பொருள் துவாரம்	பூழை என்பதன் பொருள் துவாரம்
பூளை என்பதன் பொருள் கோபுரவாயில்	பூழை என்பதன் பொருள் கோபுரவாயில்
பூழை என்பதன் பொருள் பூளைச்செடி	பூளை என்பதன் பொருள் பூளைச்செடி
பூழை என்பதன் பொருள் இலவம் பஞ்சு	பூளை என்பதன் பொருள் இலவம் பஞ்சு
பாழி என்பதன் பொருள் தானியக் குவியல்	பாலி என்பதன் பொருள் தானியக் குவியல்
பாளி என்பதன் பொருள் தானியக் குவியல்	பாலி என்பதன் பொருள் தானியக் குவியல்
பாழி என்பதன் பொருள் தூற்றாத தானியம்	பாலி என்பதன் பொருள் தூற்றாத தானியம்
பாளி என்பதன் பொருள் தூற்றாத தானியம்	பாலி என்பதன் பொருள் தூற்றாத தானியம்
பாளி என்பதன் பொருள் கொடுத்தல்	பாழி என்பதன் பொருள் கொடுத்தல்
பாலி என்பதன் பொருள் கொடுத்தல்	பாழி என்பதன் பொருள் கொடுத்தல்
பாளி என்பதன் பொருள் ஈதல்	பாழி என்பதன் பொருள் ஈதல்
பாலி என்பதன் பொருள் ஈதல்	பாழி என்பதன் பொருள் ஈதல்
பாழி என்பதன் பொருள் வரப்பு	பாளி என்பதன் பொருள் வரப்பு
பாலி என்பதன் பொருள் வரப்பு	பாளி என்பதன் பொருள் வரப்பு
பாழி என்பதன் பொருள் எல்லை	பாளி என்பதன் பொருள் எல்லை
பாலி என்பதன் பொருள் எல்லை	பாளி என்பதன் பொருள் எல்லை
பாழிவு என்பதன் பொருள் அழகு	பாலிவு என்பதன் பொருள் அழகு
பாழிவு என்பதன் பொருள் நிறைவு	பாலிவு என்பதன் பொருள் நிறைவு
பாலிவு என்பதன் பொருள் பொழிதல்	பாழிவு என்பதன் பொருள் பொழிதல்
பாலிவு என்பதன் பொருள் மேன்மை	பாழிவு என்பதன் பொருள் மேன்மை
போளி என்பதன் பொருள் பொய்	போலி என்பதன் பொருள் பொய்
போளி என்பதன் பொருள் வஞ்சகம்	போலி என்பதன் பொருள் வஞ்சகம்
போளி என்பதன் பொருள் ஒப்பு	போலி என்பதன் பொருள் ஒப்பு
போலி என்பதன் பொருள் இனிப்புப் பண்டம்	போளி என்பதன் பொருள் இனிப்புப் பண்டம்
பொழிதல் என்பதன் பொருள் செழித்தல்	பொலிதல் என்பதன் பொருள் செழித்தல்
பொழிதல் என்பதன் பொருள் மங்கலமாதல்	பொலிதல் என்பதன் பொருள் மங்கலமாதல்
பொலிதல் என்பதன் பொருள் ஈதல்	பொழிதல் என்பதன் பொருள் ஈதல்
பொலிதல் என்பதன் பொருள் கொடுத்தல்	பொழிதல் என்பதன் பொருள் கொடுத்தல்
பொலிதல் என்பதன் பொருள் சொரிதல்	பொழிதல் என்பதன் பொருள் சொரிதல்
பொலிதல் என்பதன் பொருள் பெய்தல்	பொழிதல் என்பதன் பொருள் பெய்தல்
பொலிதல் என்பதன் பொருள் நிறைதல்	பொழிதல் என்பதன் பொருள் நிறைதல்
மழம் என்பதன் பொருள் அழுக்கு	மலம் என்பதன் பொருள் அழுக்கு
மழம் என்பதன் பொருள் பாவம்	மலம் என்பதன் பொருள் பாவம்
மலம் என்பதன் பொருள் இளமை	மழம் என்பதன் பொருள் இளமை
மலம் என்பதன் பொருள் குழந்தை	மழம் என்பதன் பொருள் குழந்தை
மழை என்பதன் பொருள் குன்று	மலை என்பதன் பொருள் குன்று
மழை என்பதன் பொருள் பொருப்பு	மலை என்பதன் பொருள் பொருப்பு
மழை என்பதன் பொருள் வெற்பு	மலை என்பதன் பொருள் வெற்பு
மழை என்பதன் பொருள் சிகரம்	மலை என்பதன் பொருள் சிகரம்
மலை என்பதன் பொருள் மழைநீர்	மழை என்பதன் பொருள் மழைநீர்
மலை என்பதன் பொருள் குளிர்ச்சி	மழை என்பதன் பொருள் குளிர்ச்சி
மலை என்பதன் பொருள் மேகம்	மழை என்பதன் பொருள் மேகம்
மழைத்தல் என்பதன் பொருள் வியத்தல்	மலைத்தல் என்பதன் பொருள் வியத்தல்
மழைத்தல் என்பதன் பொருள் தடுமாறுதல்	மலைத்தல் என்பதன் பொருள் தடுமாறுதல்
மலைத்தல் என்பதன் பொருள் மழை பெய்திருத்தல்	மழைத்தல் என்பதன் பொருள் மழை பெய்திருத்தல்
மலைத்தல் என்பதன் பொருள் குளிர்ந்திருத்தல்	மழைத்தல் என்பதன் பொருள் குளிர்ந்திருத்தல்
மாளை என்பதன் பொருள் அந்திப்பொழுது	மாலை என்பதன் பொருள் அந்திப்பொழுது
மாழை என்பதன் பொருள் பூமாலை	மாலை என்பதன் பொருள் பூமாலை
மாளை என்பதன் பொருள் மயக்கம்	மாழை என்பதன் பொருள் மயக்கம்
மாலை என்பதன் பொருள் மயக்கம்	மாழை என்பதன் பொருள் மயக்கம்
மாளை என்பதன் பொருள் இளமை	மாழை என்பதன் பொருள் இளமை
மாலை என்பதன் பொருள் இளமை	மாழை என்பதன் பொருள் இளமை
மாளை என்பதன் பொருள் அழகு	மாழை என்பதன் பொருள் அழகு
மாலை என்பதன் பொருள் அழகு	மாழை என்பதன் பொருள் அழகு
மாழை என்பதன் பொருள் புளியம்பட்டை	மாளை என்பதன் பொருள் புளியம்பட்டை
மாலை என்பதன் பொருள் புளியம்பட்டை	மாளை என்பதன் பொருள் புளியம்பட்டை
மாள் என்பதன் பொருள் திருமால்	மால் என்பதன் பொருள் திருமால்
மாள் என்பதன் பொருள் மயக்கம்	மால் என்பதன் பொருள் மயக்கம்
மாள் என்பதன் பொருள் அருகன்	மால் என்பதன் பொருள் அருகன்
மாள் என்பதன் பொருள் இந்திரன்	மால் என்பதன் பொருள் இந்திரன்
மாள் என்பதன் பொருள் பெருமை	மால் என்பதன் பொருள் பெருமை
மாள் என்பதன் பொருள் மேகம்	மால் என்பதன் பொருள் மேகம்
மால் என்பதன் பொருள் இறத்தல்	மாள் என்பதன் பொருள் இறத்தல்
மால் என்பதன் பொருள் சாதல் 	மாள் என்பதன் பொருள் சாதல் 
முழை என்பதன் பொருள் உடலிலுள்ள ஓர் உறுப்பு	முலை என்பதன் பொருள் உடலிலுள்ள ஓர் உறுப்பு
முளை என்பதன் பொருள் உடலிலுள்ள ஓர் உறுப்பு	முலை என்பதன் பொருள் உடலிலுள்ள ஓர் உறுப்பு
முளை என்பதன் பொருள் குகை	முழை என்பதன் பொருள் குகை
முலை என்பதன் பொருள் குகை	முழை என்பதன் பொருள் குகை
முலை என்பதன் பொருள் முளைத்தல்	முளை என்பதன் பொருள் முளைத்தல்
முழை என்பதன் பொருள் முளைத்தல்	முளை என்பதன் பொருள் முளைத்தல்
முலை என்பதன் பொருள் தறி	முளை என்பதன் பொருள் தறி
முழை என்பதன் பொருள் தறி	முளை என்பதன் பொருள் தறி
முலை என்பதன் பொருள் ஆப்பு	முளை என்பதன் பொருள் ஆப்பு
முழை என்பதன் பொருள் ஆப்பு	முளை என்பதன் பொருள் ஆப்பு
முலை என்பதன் பொருள் அங்குசம் 	முளை என்பதன் பொருள் அங்குசம் 
முழை என்பதன் பொருள் அங்குசம் 	முளை என்பதன் பொருள் அங்குசம் 
முலை என்பதன் பொருள் இளமை	முளை என்பதன் பொருள் இளமை
முழை என்பதன் பொருள் இளமை	முளை என்பதன் பொருள் இளமை
முலை என்பதன் பொருள் தண்டு	முளை என்பதன் பொருள் தண்டு
முழை என்பதன் பொருள் தண்டு	முளை என்பதன் பொருள் தண்டு
முலை என்பதன் பொருள் மூங்கில்	முளை என்பதன் பொருள் மூங்கில்
முழை என்பதன் பொருள் மூங்கில்	முளை என்பதன் பொருள் மூங்கில்
முளி என்பதன் பொருள் விழித்தல்	முழி என்பதன் பொருள் விழித்தல்
முழி என்பதன் பொருள் மரக்கணு	முளி என்பதன் பொருள் மரக்கணு
முழி என்பதன் பொருள் விரல்முளி	முளி என்பதன் பொருள் விரல்முளி
முழி என்பதன் பொருள் வாட்டம்	முளி என்பதன் பொருள் வாட்டம்
மூழி என்பதன் பொருள் மூலிகை	மூலி என்பதன் பொருள் மூலிகை
மூழி என்பதன் பொருள் மரம்	மூலி என்பதன் பொருள் மரம்
மூழி என்பதன் பொருள் வேருள்ளது	மூலி என்பதன் பொருள் வேருள்ளது
மூலி என்பதன் பொருள் அகப்பை	மூழி என்பதன் பொருள் அகப்பை
மூலி என்பதன் பொருள் சோறு	மூழி என்பதன் பொருள் சோறு
மூலி என்பதன் பொருள் நீர்நிலை	மூழி என்பதன் பொருள் நீர்நிலை
மூலி என்பதன் பொருள் கோணம்	மூழி என்பதன் பொருள் கோணம்
மூளை என்பதன் பொருள் இரு கோடுகள் சந்திக்கும் இடம்	மூலை என்பதன் பொருள் இரு கோடுகள் சந்திக்கும் இடம்
மூலை என்பதன் பொருள் மண்டைக்குள் இருக்கும் ஓர் உறுப்பு	மூளை என்பதன் பொருள் மண்டைக்குள் இருக்கும் ஓர் உறுப்பு
மெள்ள என்பதன் பொருள் மென்று தின்பது	மெல்ல என்பதன் பொருள் மென்று தின்பது
மெல்ல என்பதன் பொருள் மெதுவாக	மெள்ள என்பதன் பொருள் மெதுவாக
மாழி என்பதன் பொருள் மொளலி கிரீடம்	மாலி என்பதன் பொருள் மொளலி கிரீடம்
மாளி என்பதன் பொருள் மொளலி கிரீடம்	மாலி என்பதன் பொருள் மொளலி கிரீடம்
மாளி என்பதன் பொருள் மேழி	மாழி என்பதன் பொருள் மேழி
மாலி என்பதன் பொருள் மேழி	மாழி என்பதன் பொருள் மேழி
மாளி என்பதன் பொருள் கலப்பை	மாழி என்பதன் பொருள் கலப்பை
மாலி என்பதன் பொருள் கலப்பை	மாழி என்பதன் பொருள் கலப்பை
மாலி என்பதன் பொருள் துணிமூட்டை	மாளி என்பதன் பொருள் துணிமூட்டை
மாழி என்பதன் பொருள் துணிமூட்டை	மாளி என்பதன் பொருள் துணிமூட்டை
வளம் என்பதன் பொருள் சுற்றுதல்	வலம் என்பதன் பொருள் சுற்றுதல்
வளம் என்பதன் பொருள் வலப்பக்கம்	வலம் என்பதன் பொருள் வலப்பக்கம்
வளம் என்பதன் பொருள் வெற்றி	வலம் என்பதன் பொருள் வெற்றி
வலம் என்பதன் பொருள் வளமை	வளம் என்பதன் பொருள் வளமை
வலம் என்பதன் பொருள் அழகு	வளம் என்பதன் பொருள் அழகு
வளவன் என்பதன் பொருள் திருமால்	வலவன் என்பதன் பொருள் திருமால்
வலவன் என்பதன் பொருள் சோழன்	வளவன் என்பதன் பொருள் சோழன்
வலவன் என்பதன் பொருள் வேளாளன்	வளவன் என்பதன் பொருள் வேளாளன்
வளன் ஓர் அரசன்	வலன் ஓர் அரசன்
வளன் என்பதன் பொருள் வெற்றி	வலன் என்பதன் பொருள் வெற்றி
வளன் என்பதன் பொருள் வல்லவன்	வலன் என்பதன் பொருள் வல்லவன்
வலன் என்பதன் பொருள் செழுமை	வளன் என்பதன் பொருள் செழுமை
வலன் என்பதன் பொருள் வளப்பன்	வளன் என்பதன் பொருள் வளப்பன்
வளப்பம் என்பதன் பொருள் வழக்கம்	வழப்பம் என்பதன் பொருள் வழக்கம்
வளப்பம் என்பதன் பொருள் இயல்பு	வழப்பம் என்பதன் பொருள் இயல்பு
வழப்பம் என்பதன் பொருள் வளமை	வளப்பம் என்பதன் பொருள் வளமை
வழப்பம் என்பதன் பொருள் செழிப்பு	வளப்பம் என்பதன் பொருள் செழிப்பு
வளி என்பதன் பொருள் நோய்	வலி என்பதன் பொருள் நோய்
வழி என்பதன் பொருள் நோய்	வலி என்பதன் பொருள் நோய்
வளி என்பதன் பொருள் வலிமை	வலி என்பதன் பொருள் வலிமை
வழி என்பதன் பொருள் வலிமை	வலி என்பதன் பொருள் வலிமை
வளி என்பதன் பொருள் துன்பம்	வலி என்பதன் பொருள் துன்பம்
வழி என்பதன் பொருள் துன்பம்	வலி என்பதன் பொருள் துன்பம்
வலி என்பதன் பொருள் நெறி	வழி என்பதன் பொருள் நெறி
வளி என்பதன் பொருள் நெறி	வழி என்பதன் பொருள் நெறி
வலி என்பதன் பொருள் பாதை	வழி என்பதன் பொருள் பாதை
வளி என்பதன் பொருள் பாதை	வழி என்பதன் பொருள் பாதை
வலி என்பதன் பொருள் தடம்	வழி என்பதன் பொருள் தடம்
வளி என்பதன் பொருள் தடம்	வழி என்பதன் பொருள் தடம்
வலி என்பதன் பொருள் உபாயம்	வழி என்பதன் பொருள் உபாயம்
வளி என்பதன் பொருள் உபாயம்	வழி என்பதன் பொருள் உபாயம்
வலி என்பதன் பொருள் காற்று	வளி என்பதன் பொருள் காற்று
வழி என்பதன் பொருள் காற்று	வளி என்பதன் பொருள் காற்று
வழை என்பதன் பொருள் மீன் முதலியன பிடிக்கும் ஒரு கருவி	வலை என்பதன் பொருள் மீன் முதலியன பிடிக்கும் ஒரு கருவி
வளை என்பதன் பொருள் மீன் முதலியன பிடிக்கும் ஒரு கருவி	வலை என்பதன் பொருள் மீன் முதலியன பிடிக்கும் ஒரு கருவி
வளை என்பதன் பொருள் சுரபுன்னை	வழை என்பதன் பொருள் சுரபுன்னை
வலை என்பதன் பொருள் சுரபுன்னை	வழை என்பதன் பொருள் சுரபுன்னை
வளை என்பதன் பொருள் புதுமை	வழை என்பதன் பொருள் புதுமை
வலை என்பதன் பொருள் புதுமை	வழை என்பதன் பொருள் புதுமை
வளை என்பதன் பொருள் இளமை	வழை என்பதன் பொருள் இளமை
வலை என்பதன் பொருள் இளமை	வழை என்பதன் பொருள் இளமை
வலை என்பதன் பொருள் கை வளையல்	வளை என்பதன் பொருள் கை வளையல்
வழை என்பதன் பொருள் கை வளையல்	வளை என்பதன் பொருள் கை வளையல்
வலை என்பதன் பொருள் எலி வளை	வளை என்பதன் பொருள் எலி வளை
வழை என்பதன் பொருள் எலி வளை	வளை என்பதன் பொருள் எலி வளை
வள் என்பதன் பொருள் வலிமை	வல் என்பதன் பொருள் வலிமை
வள் என்பதன் பொருள் விரைவு	வல் என்பதன் பொருள் விரைவு
வள் என்பதன் பொருள் திறமை	வல் என்பதன் பொருள் திறமை
வல் ஒரு ஒலிக்குறிப்புச் சொல்	வள் ஒரு ஒலிக்குறிப்புச் சொல்
வள்ளம் என்பதன் பொருள் வாழை	வல்லம் என்பதன் பொருள் வாழை
வள்ளம் ஓர் ஊர்	வல்லம் ஓர் ஊர்
வல்லம் என்பதன் பொருள் மரக்கலம்	வள்ளம் என்பதன் பொருள் மரக்கலம்
வல்லம் என்பதன் பொருள் படகு	வள்ளம் என்பதன் பொருள் படகு
வல்லம் என்பதன் பொருள் அளவு	வள்ளம் என்பதன் பொருள் அளவு
வல்லம் என்பதன் பொருள் தொன்னை	வள்ளம் என்பதன் பொருள் தொன்னை
வள்ளி என்பதன் பொருள் பூமி	வல்லி என்பதன் பொருள் பூமி
வள்ளி என்பதன் பொருள் பெண்	வல்லி என்பதன் பொருள் பெண்
வள்ளி என்பதன் பொருள் பிரிதல்	வல்லி என்பதன் பொருள் பிரிதல்
வள்ளி என்பதன் பொருள் படர் கொடி	வல்லி என்பதன் பொருள் படர் கொடி
வல்லி என்பதன் பொருள் வள்ளியம்மை	வள்ளி என்பதன் பொருள் வள்ளியம்மை
வல்லி என்பதன் பொருள் ஆபரணம்	வள்ளி என்பதன் பொருள் ஆபரணம்
வல்லி என்பதன் பொருள் சந்திரன்	வள்ளி என்பதன் பொருள் சந்திரன்
வழு என்பதன் பொருள் வலிமை	வலு என்பதன் பொருள் வலிமை
வளு என்பதன் பொருள் வலிமை	வலு என்பதன் பொருள் வலிமை
வழு என்பதன் பொருள் பலம்	வலு என்பதன் பொருள் பலம்
வளு என்பதன் பொருள் பலம்	வலு என்பதன் பொருள் பலம்
வழு என்பதன் பொருள் பற்று	வலு என்பதன் பொருள் பற்று
வளு என்பதன் பொருள் பற்று	வலு என்பதன் பொருள் பற்று
வலு என்பதன் பொருள் குற்றம்	வழு என்பதன் பொருள் குற்றம்
வளு என்பதன் பொருள் குற்றம்	வழு என்பதன் பொருள் குற்றம்
வலு என்பதன் பொருள் தவறு	வழு என்பதன் பொருள் தவறு
வளு என்பதன் பொருள் தவறு	வழு என்பதன் பொருள் தவறு
வலு என்பதன் பொருள் பழிப்புரை	வழு என்பதன் பொருள் பழிப்புரை
வளு என்பதன் பொருள் பழிப்புரை	வழு என்பதன் பொருள் பழிப்புரை
வலு என்பதன் பொருள் கேடு	வழு என்பதன் பொருள் கேடு
வளு என்பதன் பொருள் கேடு	வழு என்பதன் பொருள் கேடு
வழு என்பதன் பொருள் இளமை	வளு என்பதன் பொருள் இளமை
வலு என்பதன் பொருள் இளமை	வளு என்பதன் பொருள் இளமை
வழு என்பதன் பொருள் இளைய	வளு என்பதன் பொருள் இளைய
வலு என்பதன் பொருள் இளைய	வளு என்பதன் பொருள் இளைய
வாளி என்பதன் பொருள் கிஷ்கிந்தை அரசன் 	வாலி என்பதன் பொருள் கிஷ்கிந்தை அரசன் 
வாழி என்பதன் பொருள் கிஷ்கிந்தை அரசன் 	வாலி என்பதன் பொருள் கிஷ்கிந்தை அரசன் 
வாளி என்பதன் பொருள் வாழ்க 	வாழி என்பதன் பொருள் வாழ்க 
வாலி என்பதன் பொருள் வாழ்க 	வாழி என்பதன் பொருள் வாழ்க 
வாலி என்பதன் பொருள் அன்பு	வாளி என்பதன் பொருள் அன்பு
வாழி என்பதன் பொருள் அன்பு	வாளி என்பதன் பொருள் அன்பு
வாலி என்பதன் பொருள் வட்ட வாள்	வாளி என்பதன் பொருள் வட்ட வாள்
வாழி என்பதன் பொருள் வட்ட வாள்	வாளி என்பதன் பொருள் வட்ட வாள்
வாலி என்பதன் பொருள் வீரன்	வாளி என்பதன் பொருள் வீரன்
வாழி என்பதன் பொருள் வீரன்	வாளி என்பதன் பொருள் வீரன்
வாலி என்பதன் பொருள் ஒரு காதணி	வாளி என்பதன் பொருள் ஒரு காதணி
வாழி என்பதன் பொருள் ஒரு காதணி	வாளி என்பதன் பொருள் ஒரு காதணி
வாழை என்பதன் பொருள் இளம்பெண்	வாலை என்பதன் பொருள் இளம்பெண்
வாளை என்பதன் பொருள் இளம்பெண்	வாலை என்பதன் பொருள் இளம்பெண்
வாழை என்பதன் பொருள் திராவகம் வடிக்கும் பாத்திரம்	வாலை என்பதன் பொருள் திராவகம் வடிக்கும் பாத்திரம்
வாளை என்பதன் பொருள் திராவகம் வடிக்கும் பாத்திரம்	வாலை என்பதன் பொருள் திராவகம் வடிக்கும் பாத்திரம்
வாழை என்பதன் பொருள் ஒரு சக்தி	வாலை என்பதன் பொருள் ஒரு சக்தி
வாளை என்பதன் பொருள் ஒரு சக்தி	வாலை என்பதன் பொருள் ஒரு சக்தி
வாளை என்பதன் பொருள் வாழைமரம்	வாழை என்பதன் பொருள் வாழைமரம்
வாலை என்பதன் பொருள் வாழைமரம்	வாழை என்பதன் பொருள் வாழைமரம்
வாலை என்பதன் பொருள் வாளை மீன்	வாளை என்பதன் பொருள் வாளை மீன்
வாழை என்பதன் பொருள் வாளை மீன்	வாளை என்பதன் பொருள் வாளை மீன்
வாழ் என்பதன் பொருள் விலங்குகளின் ஓர் உறுப்பு	வால் என்பதன் பொருள் விலங்குகளின் ஓர் உறுப்பு
வாள் என்பதன் பொருள் விலங்குகளின் ஓர் உறுப்பு	வால் என்பதன் பொருள் விலங்குகளின் ஓர் உறுப்பு
வால் என்பதன் பொருள் வாழ்வாயாக	வாழ் என்பதன் பொருள் வாழ்வாயாக
வாள் என்பதன் பொருள் வாழ்வாயாக	வாழ் என்பதன் பொருள் வாழ்வாயாக
வால் என்பதன் பொருள் போர்வாள்	வாள் என்பதன் பொருள் போர்வாள்
வாழ் என்பதன் பொருள் போர்வாள்	வாள் என்பதன் பொருள் போர்வாள்
வால் என்பதன் பொருள் நீண்டகத்தி	வாள் என்பதன் பொருள் நீண்டகத்தி
வாழ் என்பதன் பொருள் நீண்டகத்தி	வாள் என்பதன் பொருள் நீண்டகத்தி
விழா என்பதன் பொருள் விலா எலும்பு	விலா என்பதன் பொருள் விலா எலும்பு
விளா என்பதன் பொருள் விலா எலும்பு	விலா என்பதன் பொருள் விலா எலும்பு
விளா என்பதன் பொருள் திருவிழா	விழா என்பதன் பொருள் திருவிழா
விலா என்பதன் பொருள் திருவிழா	விழா என்பதன் பொருள் திருவிழா
விளா என்பதன் பொருள் கொண்டாட்டம்	விழா என்பதன் பொருள் கொண்டாட்டம்
விலா என்பதன் பொருள் கொண்டாட்டம்	விழா என்பதன் பொருள் கொண்டாட்டம்
விலா என்பதன் பொருள் இளமை	விளா என்பதன் பொருள் இளமை
விழா என்பதன் பொருள் இளமை	விளா என்பதன் பொருள் இளமை
விலா என்பதன் பொருள் வெண்மை	விளா என்பதன் பொருள் வெண்மை
விழா என்பதன் பொருள் வெண்மை	விளா என்பதன் பொருள் வெண்மை
விலா என்பதன் பொருள் நிணம்	விளா என்பதன் பொருள் நிணம்
விழா என்பதன் பொருள் நிணம்	விளா என்பதன் பொருள் நிணம்
விளி என்பதன் பொருள் கண்	விழி என்பதன் பொருள் கண்
விளி என்பதன் பொருள் கருவிழி	விழி என்பதன் பொருள் கருவிழி
விழி என்பதன் பொருள் கூப்பிடு	விளி என்பதன் பொருள் கூப்பிடு
விழி என்பதன் பொருள் அழை	விளி என்பதன் பொருள் அழை
